"","breakpoint","elpd_loo","se_elpd_loo","ymin","ymax"
"1",2010.5,-30.3055298758526,3.14660174940819,-36.4728693046927,-24.1381904470125
"2",2011.5,-29.4373098502642,4.85509184788193,-38.9532898721128,-19.9213298284156
"3",2012.5,-24.8782425006262,5.39559949292661,-35.4536175067624,-14.30286749449
"4",2013.5,-16.8865589992933,2.79406510107176,-22.362926597394,-11.4101914011926
"5",2014.5,-22.7788181132501,4.03314006296149,-30.6837726366546,-14.8738635898456
"6",2015.5,-22.2615197080296,2.88661959273428,-27.9192941097888,-16.6037453062704
"7",2016.5,-20.7096178008762,2.36328904267952,-25.3416643245281,-16.0775712772243
"8",2017.5,-23.4622897612802,2.48179232575557,-28.3266027197611,-18.5979768027993
"9",2018.5,-26.8018296986239,2.5322138212667,-31.7649687883066,-21.8386906089412
