"region","cod_per_set","cod_se","cod_95percent_LCI","cod_95percent_UCI"
"Agripina",80.76,79.56,5.85,684.92
"Eastern Kodiak",21.55,20.63,1.42,154.53
"Kaiugnak",44.92,45.66,2.65,588.28
"Shumagin Islands",67.62,57.25,7.08,446.38
