"heatwave_status","cod_per_set","cod_se","cod_95percent_LCI","cod_95percent_UCI"
"adjacent",21.57,25.6,0.29,301.08
"after",9.97,11.83,0.14,141.87
"before",5.35,6.42,0.07,79.86
"during",3.68,4.54,0.04,55.35
