"heatwave status","cod_per_set","cod_se","cod_95percent_LCI","cod_95percent_UCI"
"adjacent",127.09,99.09,18.98,648.63
"after",44.44,28.53,9.28,179.21
"before",40.48,23.47,9.17,124.99
"during",12.15,10.32,1.1,61.99
