"heatwave status","cod_per_set","cod_se","cod_95percent_LCI","cod_95percent_UCI"
"adjacent",106.62,75.32,19.97,466.39
"after",45.82,26.48,12.76,153.28
"before",38.36,17.62,14.03,96.61
"during",10.76,7.99,1.51,45.51
