year,Date,bay,site,Time,Temperature,Salinity,Oxygen,Habitat,total.gadid.cpue,saffron.age.0,cod.age.0,pollock.age.0,cod.age.1,cod.age.2,saffron.age.1,saffron.age.2,pollock.age.1
2026,7/15/2026,Anton Larsen,Back Bay eelgrass,1305,11.9,32.9,11.4,Eelgrass,0,0,0,0,0,0,0,0,0
2026,7/16/2026,Anton Larsen,Back Bay eelgrass,1347,10.9,32.6,9.8,Eelgrass,2,0,0,2,0,0,0,0,0
2026,8/25/2026,Anton Larsen,Back Bay eelgrass,1028,12.4,31.9,10,Eelgrass,11,0,11,0,0,0,0,0,0
2026,8/26/2026,Anton Larsen,Back Bay eelgrass,1119,12.5,32.2,9.9,Eelgrass,14,0,14,0,0,0,0,0,0
2026,7/13/2026,Cook,Bare North,1238,10.5,33.6,12.5,Bare,0,0,0,0,0,0,0,0,0
2026,7/17/2026,Cook,Bare North,1525,10.2,33.9,10.9,Bare,0,0,0,0,0,0,0,0,0
2026,8/27/2026,Cook,Bare North,1300,12.6,33.1,10.5,Bare,226,0,226,0,0,0,0,0,0
2026,8/28/2026,Cook,Bare North,1319,12.4,33.2,9.3,Bare,181,0,181,0,1,0,0,0,0
2026,7/15/2026,Anton Larsen,Cobble point,1512,9.7,33.2,12.1,Bare,0,0,0,0,0,0,0,0,0
2026,7/16/2026,Anton Larsen,Cobble point,1446,11,29.6,10.7,Bare,1,0,0,1,0,0,0,0,0
2026,8/25/2026,Anton Larsen,Cobble point,1252,13.3,29.7,10.9,Bare,0,0,0,0,0,0,0,0,0
2026,8/26/2026,Anton Larsen,Cobble point,1335,12.2,32.1,10.7,Bare,0,0,0,0,0,0,0,0,0
2026,7/13/2026,Cook,Eelgrass North,1001,10.5,33.4,10.7,Eelgrass,23,0,23,0,0,0,0,0,0
2026,7/17/2026,Cook,Eelgrass North,1230,10.8,33.9,9.4,Eelgrass,171,1,109,61,0,0,0,0,0
2026,8/27/2026,Cook,Eelgrass North,1021,12.3,33,9,Eelgrass,442,0,442,0,0,0,0,0,0
2026,8/28/2026,Cook,Eelgrass North,1043,12.8,33.2,9,Eelgrass,202,0,202,0,0,0,0,0,0
2026,7/15/2026,Anton Larsen,Eelgrass patches,746,9.9,32.2,12.2,Eelgrass,33,0,10,23,0,0,0,0,0
2026,7/16/2026,Anton Larsen,Eelgrass patches,850,10.6,30.2,10.7,Eelgrass,15,0,0,15,1,0,0,0,1
2026,8/25/2026,Anton Larsen,Eelgrass patches,711,12.8,30.5,11.4,Eelgrass,198,0,198,0,2,0,1,0,0
2026,8/26/2026,Anton Larsen,Eelgrass patches,732,11.7,31.5,10.5,Eelgrass,138,0,138,0,2,0,0,0,0
2026,7/15/2026,Anton Larsen,Eelgrass point,838,10,32.6,10.5,Eelgrass,61,0,0,61,0,0,0,0,0
2026,7/16/2026,Anton Larsen,Eelgrass point,931,11,30.7,10.3,Eelgrass,69,0,0,69,0,0,0,0,0
2026,8/25/2026,Anton Larsen,Eelgrass point,755,12.9,27.8,10.7,Eelgrass,25,0,25,0,1,0,0,0,0
2026,8/26/2026,Anton Larsen,Eelgrass point,837,11.6,31.8,10.2,Eelgrass,109,0,109,0,1,0,0,0,0
2026,7/13/2026,Cook,Eelgrass South,605,9.7,33.3,11.7,Eelgrass,885,0,175,710,0,0,0,0,0
2026,7/17/2026,Cook,Eelgrass South,850,9.4,33.1,11.2,Eelgrass,1269,0,592,677,0,0,0,0,0
2026,8/27/2026,Cook,Eelgrass South,655,11.9,32.6,9.1,Eelgrass,1985,0,1365,620,6,0,0,2,0
2026,8/28/2026,Cook,Eelgrass South,723,11.3,32.9,8.9,Eelgrass,1075,0,846,229,2,0,0,0,0
2026,7/13/2026,Cook,Eelgrass West,832,10.2,33,12.8,Eelgrass,1779,2,181,1596,1,0,0,0,0
2026,7/17/2026,Cook,Eelgrass West,1057,9.7,33.8,11,Eelgrass,931,3,274,654,3,0,0,0,0
2026,8/27/2026,Cook,Eelgrass West,921,12.1,33,10.2,Eelgrass,1062,0,539,523,39,0,0,0,0
2026,8/28/2026,Cook,Eelgrass West,918,12.5,33,9,Eelgrass,1246,1,446,799,1,0,0,0,0
2026,7/15/2026,Anton Larsen,Laminaria #2,1125,10.9,32.8,10.1,Laminaria,32,0,9,23,0,0,0,0,0
2026,7/16/2026,Anton Larsen,Laminaria #2,1129,11,32.7,10.6,Laminaria,12,0,6,6,0,0,0,0,0
2026,8/25/2026,Anton Larsen,Laminaria #2,827,12.5,31.8,11,Laminaria,81,0,81,0,0,0,0,0,0
2026,8/26/2026,Anton Larsen,Laminaria #2,930,11.9,32.1,9.6,Laminaria,84,0,84,0,2,0,0,1,0
2026,7/13/2026,Cook,Laminaria East,812,10.2,33.5,12,Laminaria,0,0,0,0,2,0,0,0,0
2026,7/17/2026,Cook,Laminaria East,1036,9.9,33.5,10.4,Laminaria,0,0,0,0,1,0,0,0,0
2026,8/27/2026,Cook,Laminaria East,843,11.8,33,9,Laminaria,464,0,464,0,0,0,0,0,0
2026,8/28/2026,Cook,Laminaria East,848,12,33,9.4,Laminaria,605,0,458,147,2,0,0,0,0
2026,7/13/2026,Cook,Laminaria North,939,10.5,33.5,11.9,Laminaria,0,0,0,0,0,0,0,0,0
2026,7/17/2026,Cook,Laminaria North,1208,10.4,33.7,9.8,Laminaria,1,0,0,1,0,0,0,0,0
2026,8/27/2026,Cook,Laminaria North,955,12.1,33,8.5,Laminaria,200,0,200,0,0,0,0,0,0
2026,8/28/2026,Cook,Laminaria North,1019,12.5,33.2,9.1,Laminaria,285,0,285,0,0,0,0,0,0
2026,7/15/2026,Anton Larsen,Laminaria Point,811,10.1,32.6,11.3,Laminaria,111,0,0,111,9,0,0,0,0
2026,7/16/2026,Anton Larsen,Laminaria Point,915,11,30.2,10.4,Laminaria,3,0,0,3,30,0,0,0,0
2026,8/25/2026,Anton Larsen,Laminaria Point,737,12.9,29.3,10.5,Laminaria,134,0,134,0,0,0,0,0,0
2026,8/26/2026,Anton Larsen,Laminaria Point,807,11.6,31.8,10.5,Laminaria,156,0,156,0,1,0,0,0,0
2026,7/13/2026,Cook,Laminaria South,717,9.8,33.3,11.8,Laminaria,387,0,200,187,1,0,0,0,0
2026,7/17/2026,Cook,Laminaria South,945,9.4,33.6,9,Laminaria,957,0,299,658,5,0,0,0,0
2026,8/27/2026,Cook,Laminaria South,801,11.7,33,9.6,Laminaria,557,0,150,407,4,0,0,0,0
2026,8/28/2026,Cook,Laminaria South,800,11.4,32.9,8.4,Laminaria,547,0,503,44,3,0,0,0,0
2026,7/13/2026,Cook,Middle Cove,1252,10.3,33.9,11.1,Bare,95,0,0,95,7,0,0,0,0
2026,7/17/2026,Cook,Middle Cove,1536,9.6,33.7,10.1,Bare,0,0,0,0,7,0,0,0,0
2026,8/27/2026,Cook,Middle Cove,1225,11.9,33.2,9.8,Bare,110,0,106,4,1,0,0,0,0
2026,8/28/2026,Cook,Middle Cove,1345,11.7,33.3,9.6,Bare,66,0,66,0,1,0,0,0,0
2026,7/15/2026,Anton Larsen,White rock,1548,11.2,32.9,11,Bare,6,0,0,6,0,0,0,0,0
2026,7/16/2026,Anton Larsen,White rock,1458,10.4,32.5,11.4,Bare,5,0,0,5,0,0,0,0,0
2026,8/25/2026,Anton Larsen,White rock,1314,13.5,29.8,10.3,Bare,3,0,3,0,0,0,0,0,0
2026,8/26/2026,Anton Larsen,White rock,1400,12.4,31.5,10.7,Bare,0,0,0,0,0,0,0,0,0
2026,7/15/2026,Anton Larsen,Wooden boat,921,10.6,32.9,11.4,Laminaria,135,0,33,102,0,0,0,0,0
2026,7/16/2026,Anton Larsen,Wooden boat,1006,10.8,32.8,9.9,Laminaria,30,0,0,30,0,0,0,0,1
2026,8/25/2026,Anton Larsen,Wooden boat,853,12.3,31.9,10.5,Laminaria,112,0,112,0,0,0,0,0,0
2026,8/26/2026,Anton Larsen,Wooden boat,958,12,32.1,10.2,Laminaria,91,0,91,0,1,0,0,0,0
