year,age0
1977,0.99
1978,0.5
1979,0.4
1980,0.49
1981,0.77
1982,0.76
1983,0.7
1984,0.62
1985,0.89
1986,0.61
1987,0.61
1988,0.64
1989,0.65
1990,0.83
1991,0.55
1992,0.48
1993,0.35
1994,0.37
1995,0.52
1996,0.34
1997,0.35
1998,0.27
1999,0.37
2000,0.45
2001,0.31
2002,0.21
2003,0.25
2004,0.29
2005,0.44
2006,0.68
2007,0.5
2008,0.66
2009,0.47
2010,0.51
2011,0.63
2012,1.25
2013,0.84
2014,0.3
2015,0.27
2016,0.28
2017,0.21
2018,0.17
2019,0.08
2020,0.22
2021,0.26
